Major Code,Major Desc,Count,Year
0,Non-Degree Seeking,356,2001
AAS,African American Studies,17,2001
ACC,Accounting,378,2001
AMG,Aviation Management,62,2001
ANT,Anthropology,61,2001
ART,Art,486,2001
ATV,Aviation Technology,336,2001
BHS,Behavioral Science,359,2001
BIO,Biology,483,2001
CET,Civil Engineering Technology,83,2001
CFP,Certificate-Persnl Fin Planng,1,2001
CHE,Chemistry,118,2001
CHS,Chicano Studies,29,2001
CIN,Computer Information Systems,713,2001
CJC,Criminal Justice & Criminology,514,2001
CSI,Computer Science,399,2001
ECO,Economics,43,2001
EET,Electrical Engineering Tech,80,2001
ENG,English,388,2001
ENG6,Creative Writing,1,2001
ENV,Environmental Science,68,2001
FIN,Finance,292,2001
HCM,Health Care Management,54,2001
HIS,History,306,2001
HMT,"Hospitality, Meeting & Tvl Adm",108,2001
HPS,Human Performance & Sport,252,2001
HSP,Human Services,210,2001
HSW,Human Services,2,2001
IDP,Individualized Degree Program,94,2001
IND,Industrial Design,78,2001
ITS,Industrial & Technical Studies,7,2001
JRN,Journalism,234,2001
LECE,Licensure-Early Childhood Educ,4,2001
LEDS,Licensure-Secondary Education,23,2001
LEED,Licensure-Elementary Education,35,2001
LES,Leisure Studies,30,2001
LK12,Licensure-K-12 Education,9,2001
LSPL,Licensure-Special Education,10,2001
LTIR,Licensure-Teacher in Residence,28,2001
LTLE,Licensure-General Elementary,1,2001
LTLG,Licensure-General Teacher Lic,31,2001
LUS,Land Use,72,2001
MDL,Modern Languages,37,2001
MED,Music Education,70,2001
MET,Mechanical Engineering Tech,80,2001
MGT,Management,491,2001
MKT,Marketing,350,2001
MTH,Mathematics,105,2001
MTR,Meteorology,33,2001
MUS,Music,105,2001
NUR,Nursing,78,2001
PHI,Philosophy,46,2001
PHY,Physics,30,2001
PSC,Political Science,112,2001
PSY,Psychology,531,2001
SOC,Sociology,106,2001
SPA,Spanish,119,2001
SPC,Speech Communication,241,2001
SUM,Surveying & Mapping,24,2001
SWK,Social Work,121,2001
TCM,Technical Communications,87,2001
TIA,Technical & Industrial Admin,1,2001
TLC,Pre-Early Childhood Education,3,2001
TLE,Pre-Elementary Education,26,2001
TLK,Pre-K-12 Education,8,2001
TLP,Pre-Special Education,15,2001
TLS,Pre-Secondary Education,18,2001
UND,Undeclared,2549,2001
UNN,Undeclared Nursing Interest,1,2001
CBF,Certificate-French Basic Comp,0,2001
CCS,Certificate-Condtiong Speclist,0,2001
CGP,Certificate-Gerontology-PrfSrv,0,2001
HDV,Human Development,0,2001
SED,Special Education,0,2001
CDA,Certificate-Database Speclist,0,2001
CEE,Certificate-Electric Engg Tech,0,2001
CSKD,Certificate-Chld-Adol Mntl Hlt,0,2001
THE,Theatre,0,2001
CBS,Certificate-Spanish Basic Comp,0,2001
CGIS,Certificate-Geographic Info Sy,0,2001
CHY,Certificate-High Risk Youth,0,2001
CMP,Certificate-Multimedia Prodctn,0,2001
CSKA,Certificate-Family Presrv Svcs,0,2001
CSKE,Certificate-Gay-Lesbian Svcs,0,2001
CGTS,Certificate-Geotechnology Syst,0,2001
CSKF,Certificate-Women's Services,0,2001
ITP,Integrative Therapeutic Pract,0,2001
CNS,Certificate-Network Spec in IS,0,2001
HTE,"Hospitality, Tourism & Events",0,2001
RECR,Recreation Professions,0,2001
CSR2,Certificate-Engr/Constr Surv,0,2001
HND,Human Nutrition-Dietetics,0,2001
ATH,Athletic Training,0,2001
CAC,Certificate-Accounting,0,2001
CCP,Certificate-Career&Prsnl Devlt,0,2001
CPD,Certificate-Public Adminstrtn,0,2001
