Year,College Code,College Desc,Major Code,Major Desc,Count
2012,0,No College Designated,0,Non-Degree Seeking,229
2012,BU,College of Business,ACC,Accounting,883
2012,BU,College of Business,CAC,Certificate-Accounting,5
2012,BU,College of Business,CIN,Computer Information Systems,442
2012,BU,College of Business,ECO,Economics,129
2012,BU,College of Business,FIN,Finance,352
2012,BU,College of Business,IDP,Individualized Degree Program,13
2012,BU,College of Business,MGT,Management,1144
2012,BU,College of Business,MKT,Marketing,683
2012,ED,School of Education,LECE,Licensure-Early Childhood Educ,1
2012,ED,School of Education,LEDS,Licensure-Secondary Education,6
2012,ED,School of Education,LEED,Licensure-Elementary Education,4
2012,ED,School of Education,LK12,Licensure-K-12 Education,2
2012,ED,School of Education,LSPL,Licensure-Special Education,2
2012,ED,School of Education,SED,Special Education,2
2012,LA,"College of Letters, Arts, & Sciences",AAS,African American Studies,11
2012,LA,"College of Letters, Arts, & Sciences",ANT,Anthropology,183
2012,LA,"College of Letters, Arts, & Sciences",ART,Art,921
2012,LA,"College of Letters, Arts, & Sciences",ARTH,"ArtHistory,Theory&Criticism",1
2012,LA,"College of Letters, Arts, & Sciences",BHS,Behavioral Science,494
2012,LA,"College of Letters, Arts, & Sciences",BIO,Biology,1397
2012,LA,"College of Letters, Arts, & Sciences",CHE,Chemistry,332
2012,LA,"College of Letters, Arts, & Sciences",CHS,Chicano Studies,37
2012,HS,College of Health & Applied Science,CSI,Computer Science,416
2012,LA,"College of Letters, Arts, & Sciences",CSL,Certificate-SpcLangPathlgyAsst,1
2012,LA,"College of Letters, Arts, & Sciences",ENG,English,633
2012,LA,"College of Letters, Arts, & Sciences",ENV,Environmental Science,336
2012,LA,"College of Letters, Arts, & Sciences",HDV,Human Development,483
2012,LA,"College of Letters, Arts, & Sciences",HIS,History,536
2012,LA,"College of Letters, Arts, & Sciences",IDP,Individualized Degree Program,164
2012,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,1
2012,LA,"College of Letters, Arts, & Sciences",LIN,Linguistics,22
2012,LA,"College of Letters, Arts, & Sciences",LUS,Land Use,144
2012,LA,"College of Letters, Arts, & Sciences",MDL,Modern Languages,211
2012,LA,"College of Letters, Arts, & Sciences",MED,Music Education,118
2012,LA,"College of Letters, Arts, & Sciences",MTH,Mathematics,248
2012,LA,"College of Letters, Arts, & Sciences",MTR,Meteorology,61
2012,LA,"College of Letters, Arts, & Sciences",MUS,Music,282
2012,LA,"College of Letters, Arts, & Sciences",PHI,Philosophy,87
2012,LA,"College of Letters, Arts, & Sciences",PHY,Physics,88
2012,LA,"College of Letters, Arts, & Sciences",PSC,Political Science,237
2012,LA,"College of Letters, Arts, & Sciences",PSY,Psychology,1136
2012,LA,"College of Letters, Arts, & Sciences",SLH,Speech Lang & Hearing Science,119
2012,LA,"College of Letters, Arts, & Sciences",SOC,Sociology,173
2012,LA,"College of Letters, Arts, & Sciences",SPC,Speech Communication,320
2012,LA,"College of Letters, Arts, & Sciences",SWK,Social Work,390
2012,LA,"College of Letters, Arts, & Sciences",THE,Theatre,162
2012,LA,"College of Letters, Arts, & Sciences",UND,Undeclared,1856
2012,LA,"College of Letters, Arts, & Sciences",WMS,Women's Studies,22
2012,HS,College of Health & Applied Science,AMG,Aviation Management,86
2012,HS,College of Health & Applied Science,ATH,Athletic Training,115
2012,HS,College of Health & Applied Science,ATV,Aviation Technology,414
2012,HS,College of Health & Applied Science,CET,Civil Engineering Technology,208
2012,HS,College of Health & Applied Science,CJC,Criminal Justice & Criminology,1287
2012,HS,College of Health & Applied Science,EET,Electrical Engineering Tech,229
2012,HS,College of Health & Applied Science,HCM,Health Care Management,267
2012,HS,College of Health & Applied Science,HMT,"Hospitality, Meeting & Tvl Adm",2
2012,HS,College of Health & Applied Science,HND,Human Nutrition - Dietetics,442
2012,HS,College of Health & Applied Science,HPS,Human Performance & Sport,693
2012,HS,College of Health & Applied Science,HSP,Human Services,512
2012,HS,College of Health & Applied Science,HTE,"Hospitality, Tourism & Events",657
2012,HS,College of Health & Applied Science,IDP,Individualized Degree Program,39
2012,HS,College of Health & Applied Science,IND,Industrial Design,257
2012,HS,College of Health & Applied Science,ITP,Integrative Therapeutic Pract,151
2012,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,362
2012,ED,School of Education,LECE,Licensure-Early Childhood Educ,24
2012,ED,School of Education,LEDS,Licensure-Secondary Education,84
2012,ED,School of Education,LEED,Licensure-Elementary Education,72
2012,ED,School of Education,LK12,Licensure-K-12 Education,36
2012,ED,School of Education,LSPL,Licensure-Special Education,26
2012,ED,School of Education,LTIR,Licensure-Teacher in Residence,91
2012,ED,School of Education,LTLG,Licensure-General Teacher Lic,36
2012,HS,College of Health & Applied Science,MET,Mechanical Engineering Tech,310
2012,HS,College of Health & Applied Science,NUR,Nursing,183
2012,HS,College of Health & Applied Science,RECR,Recreation Professions,86
2012,HS,College of Health & Applied Science,SED,Special Education,192
2012,HS,College of Health & Applied Science,SUM,Surveying & Mapping,5
2012,HS,College of Health & Applied Science,TCM,Technical Communications,180
2012,HS,College of Health & Applied Science,TLC,Pre-Early Childhood Education,4
2012,HS,College of Health & Applied Science,TLE,Pre-Elementary Education,7
2012,HS,College of Health & Applied Science,TLK,Pre-K-12 Education,8
2012,HS,College of Health & Applied Science,TLP,Pre-Special Education,3
2012,HS,College of Health & Applied Science,TLS,Pre-Secondary Education,5
2012,HS,College of Health & Applied Science,UNN,Undeclared Nursing Interest,428
2013,0,No College Designated,0,Non-Degree Seeking,233
2013,BU,College of Business,ACC,Accounting,849
2013,BU,College of Business,CAC,Certificate-Accounting,1
2013,BU,College of Business,CIN,Computer Information Systems,467
2013,BU,College of Business,ECO,Economics,146
2013,BU,College of Business,FIN,Finance,358
2013,BU,College of Business,IDP,Individualized Degree Program,19
2013,BU,College of Business,MDL,Modern Languages,1
2013,BU,College of Business,MGT,Management,1100
2013,BU,College of Business,MKT,Marketing,677
2013,LA,"College of Letters, Arts, & Sciences",MTH,Mathematics,1
2013,ED,School of Education,LECE,Licensure-Early Childhood Educ,5
2013,ED,School of Education,LEDS,Licensure-Secondary Education,22
2013,ED,School of Education,LEED,Licensure-Elementary Education,12
2013,ED,School of Education,LK12,Licensure-K-12 Education,7
2013,ED,School of Education,LSPL,Licensure-Special Education,4
2013,ED,School of Education,SED,Special Education,8
2013,LA,"College of Letters, Arts, & Sciences",AAS,African American Studies,13
2013,LA,"College of Letters, Arts, & Sciences",AFS,Africana Studies,1
2013,LA,"College of Letters, Arts, & Sciences",ANT,Anthropology,152
2013,LA,"College of Letters, Arts, & Sciences",ART,Art,823
2013,LA,"College of Letters, Arts, & Sciences",ARTH,"ArtHistory,Theory&Criticism",17
2013,LA,"College of Letters, Arts, & Sciences",BHS,Behavioral Science,303
2013,LA,"College of Letters, Arts, & Sciences",BIO,Biology,1365
2013,LA,"College of Letters, Arts, & Sciences",CDES,Communication Design,12
2013,LA,"College of Letters, Arts, & Sciences",CHE,Chemistry,290
2013,LA,"College of Letters, Arts, & Sciences",CHS,Chicano Studies,27
2013,LA,"College of Letters, Arts, & Sciences",CJC,Criminal Justice & Criminology,1
2013,HS,College of Health & Applied Science,CS,Computer Science,132
2013,HS,College of Health & Applied Science,CSI,Computer Science,307
2013,LA,"College of Letters, Arts, & Sciences",ENG,English,597
2013,LA,"College of Letters, Arts, & Sciences",ENV,Environmental Science,337
2013,LA,"College of Letters, Arts, & Sciences",HCM,Health Care Management,1
2013,LA,"College of Letters, Arts, & Sciences",HDV,Human Development,504
2013,LA,"College of Letters, Arts, & Sciences",HIS,History,516
2013,LA,"College of Letters, Arts, & Sciences",IDP,Individualized Degree Program,126
2013,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,20
2013,LA,"College of Letters, Arts, & Sciences",LIN,Linguistics,41
2013,LA,"College of Letters, Arts, & Sciences",LUS,Land Use,161
2013,LA,"College of Letters, Arts, & Sciences",MDL,Modern Languages,178
2013,LA,"College of Letters, Arts, & Sciences",MED,Music Education,116
2013,LA,"College of Letters, Arts, & Sciences",MTH,Mathematics,236
2013,LA,"College of Letters, Arts, & Sciences",MTR,Meteorology,55
2013,LA,"College of Letters, Arts, & Sciences",MUS,Music,272
2013,LA,"College of Letters, Arts, & Sciences",PHI,Philosophy,81
2013,LA,"College of Letters, Arts, & Sciences",PHY,Physics,77
2013,LA,"College of Letters, Arts, & Sciences",PSC,Political Science,221
2013,LA,"College of Letters, Arts, & Sciences",PSY,Psychology,1100
2013,LA,"College of Letters, Arts, & Sciences",SLH,Speech Lang & Hearing Science,107
2013,LA,"College of Letters, Arts, & Sciences",SOC,Sociology,145
2013,LA,"College of Letters, Arts, & Sciences",SPC,Speech Communication,273
2013,LA,"College of Letters, Arts, & Sciences",SWK,Social Work,384
2013,LA,"College of Letters, Arts, & Sciences",THE,Theatre,152
2013,LA,"College of Letters, Arts, & Sciences",UND,Undeclared,1732
2013,LA,"College of Letters, Arts, & Sciences",WMS,Women's Studies,27
2013,HS,College of Health & Applied Science,AAM,Aviation & Aerospace Mgt,18
2013,HS,College of Health & Applied Science,AMG,Aviation Management,57
2013,HS,College of Health & Applied Science,ASC,Aviation and Aerospace Science,95
2013,HS,College of Health & Applied Science,ATH,Athletic Training,166
2013,HS,College of Health & Applied Science,ATV,Aviation Technology,298
2013,HS,College of Health & Applied Science,CET,Civil Engineering Technology,202
2013,HS,College of Health & Applied Science,CJC,Criminal Justice & Criminology,1200
2013,HS,College of Health & Applied Science,EET,Electrical Engineering Tech,246
2013,HS,College of Health & Applied Science,ENG,English,1
